A Boy's Will (1913) - Robert Frost
A City Winter and Other Poems (1951) - Frank O'Hara
"""A Door Somewhere"""" (2016)-Jaydeep Sarangi"
A Further Range (1936) - Robert Frost
A Green Bough (1933) - William Faulkner
A Lume Spento (1908) - Ezra Pound
A Man in the Divided Sea (1946) - Thomas Merton
A Quinzaine for This Yule (1908) - Ezra Pound
A Remembrance Collection of New Poems (1959) - Robert Frost
As I see it - A Poetry Collection (2015) - Rajith V. Embuldeniya
A Witness Tree (1942) - Robert Frost
About the House (1965) -- W.H. Auden
Adam & Eve & The City (1936) - William Carlos Williams
Adult Bookstore (1976) - Karl Shapiro
Advent (1898) - Rainer Maria Rilke
Aforesaid (1954) - Robert Frost
Agnibeena – Kazi Nazrul Islam
Al Que Quiere! (1917) - William Carlos Williams
An Early Martyr and Other Poems (1935) - William Carlos Williams
Another Black Girl Miracle (2017) - Tonya Ingram
Another Time (1940) -- W.H. Auden
Ariel - Sylvia Plath
Arogyo – Rabindranath Tagore
Auguries of Innocence – Patti Smith
Auto Wreck (1942) - Karl Shapiro
Babel – Patti Smith
"Badmash Darpan (1895, collection of Bhojpuri Ghazals) - Teg Ali Teg"
Bairagi Kailaka Kabitaharu (1974) – Bairagi Kainla
Bana-Phul – Rabindranath Tagore
Basic Heart (2009) - Renée Ashley
Bhagna Hriday – Rabindranath Tagore
Bhanusimha Thakurer Padabali – Rabindranath Tagore
Blood for A Stranger (1942) - Randall Jarrell
Book of Blues (1954–1961) - Jack Kerouac
"Book of Haikus (posthumous, 2003) - Jack Kerouac"
Book of Psalms
Book of Sketches (1952–1957) - Jack Kerouac
Buah Rindu (1941) – Amir Hamzah
Cables to the Ace (1968) - Thomas Merton
Caedmon manuscript
Canterbury Tales - Geoffrey Chaucer
